name,tag,sum_cards_earned,win_ratio,unplayed_battles,battles_dict_0_created_date,battles_dict_0_cards_earned,battles_dict_0_battles_played,battles_dict_0_wins,battles_dict_1_created_date,battles_dict_1_cards_earned,battles_dict_1_battles_played,battles_dict_1_wins,battles_dict_2_created_date,battles_dict_2_cards_earned,battles_dict_2_battles_played,battles_dict_2_wins,battles_dict_3_created_date,battles_dict_3_cards_earned,battles_dict_3_battles_played,battles_dict_3_wins,battles_dict_4_created_date,battles_dict_4_cards_earned,battles_dict_4_battles_played,battles_dict_4_wins,battles_dict_5_created_date,battles_dict_5_cards_earned,battles_dict_5_battles_played,battles_dict_5_wins,battles_dict_6_created_date,battles_dict_6_cards_earned,battles_dict_6_battles_played,battles_dict_6_wins,battles_dict_7_created_date,battles_dict_7_cards_earned,battles_dict_7_battles_played,battles_dict_7_wins,battles_dict_8_created_date,battles_dict_8_cards_earned,battles_dict_8_battles_played,battles_dict_8_wins,battles_dict_9_created_date,battles_dict_9_cards_earned,battles_dict_9_battles_played,battles_dict_9_wins
jasesolo12,2PRG98R2,4400.0,0.125,4,20180918T020110.000Z,450,0,0,20180916T004659.000Z,150,1,0,20180914T003101.000Z,750,0,0,20180911T235914.000Z,620,1,1,,,,,20180907T212805.000Z,750,0,0,,,,,20180903T211717.000Z,480,0,0,20180901T203611.000Z,900,1,0,20180830T194223.000Z,300,1,0
Jasesolo16,29JR02GLV,2210.0,0.0,2,,,,,,,,,,,,,20180911T235914.000Z,390,1,0,,,,,20180907T212805.000Z,520,0,0,,,,,20180903T211717.000Z,650,0,0,20180901T203611.000Z,650,1,0,,,,
jenijenjen,8L9UGY8YC,6010.0,0.9,0,20180918T020110.000Z,600,1,1,20180916T004659.000Z,900,1,1,20180914T003101.000Z,450,1,1,20180911T235914.000Z,600,1,0,20180909T235640.000Z,450,1,1,20180907T212805.000Z,450,1,1,20180905T212231.000Z,600,1,1,20180903T211717.000Z,560,1,1,20180901T203611.000Z,560,1,1,20180830T194223.000Z,840,1,1
jiroforhire,9PY8CGUJP,5600.0,0.45454545454545453,1,20180918T020110.000Z,560,1,1,20180916T004659.000Z,700,1,0,20180914T003101.000Z,420,2,1,20180911T235914.000Z,280,1,1,20180909T235640.000Z,700,1,1,20180907T212805.000Z,700,1,0,20180905T212231.000Z,700,1,1,20180903T211717.000Z,560,1,0,20180901T203611.000Z,280,1,0,20180830T194223.000Z,700,0,0
joshua 360,8Q2RYRL0,700.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180901T203611.000Z,140,1,0,20180830T194223.000Z,560,0,0
Kash,PQVGGGJP,650.0,0.5,0,,,,,,,,,,,,,20180911T235914.000Z,520,1,0,,,,,,,,,,,,,,,,,,,,,20180830T194223.000Z,130,1,1
king awesom,8VLUUYJJ8,1990.0,0.5,1,,,,,20180916T004659.000Z,450,0,0,20180914T003101.000Z,560,1,0,20180911T235914.000Z,140,1,0,,,,,20180907T212805.000Z,420,1,1,,,,,20180903T211717.000Z,280,1,1,,,,,20180830T194223.000Z,140,1,1
Lade,PGVRGRGY,7200.0,0.6363636363636364,2,20180918T020110.000Z,320,1,1,20180916T004659.000Z,800,0,0,20180914T003101.000Z,640,1,0,20180911T235914.000Z,960,1,0,20180909T235640.000Z,480,0,0,20180907T212805.000Z,800,2,2,20180905T212231.000Z,800,1,1,20180903T211717.000Z,800,1,1,20180901T203611.000Z,800,1,1,20180830T194223.000Z,800,1,1
luis,829LRU8G,5700.0,0.4444444444444444,0,20180918T020110.000Z,840,1,1,20180916T004659.000Z,540,1,1,20180914T003101.000Z,650,1,1,20180911T235914.000Z,650,1,0,20180909T235640.000Z,650,1,0,20180907T212805.000Z,420,1,0,20180905T212231.000Z,780,1,1,,,,,20180901T203611.000Z,520,1,0,20180830T194223.000Z,650,1,0
MajesticPony,8PYCJUCY,3730.0,0.3333333333333333,0,,,,,,,,,,,,,20180911T235914.000Z,700,1,0,20180909T235640.000Z,840,2,1,20180907T212805.000Z,840,1,0,,,,,20180903T211717.000Z,700,1,0,20180901T203611.000Z,650,1,1,,,,
